Id,Store,DayOfWeek,Date,Customers,Open,Promo,StateHoliday,SchoolHoliday
322400,1,2,2014-09-30,550,1,1,0,0
322401,2,2,2014-09-30,839,1,1,0,0
322402,3,2,2014-09-30,1084,1,1,0,0
322404,5,2,2014-09-30,676,1,1,0,0
322405,6,2,2014-09-30,786,1,1,0,0
322406,7,2,2014-09-30,1177,1,1,0,0
322407,8,2,2014-09-30,915,1,1,0,0
322408,9,2,2014-09-30,730,1,1,0,0
322409,10,2,2014-09-30,697,1,1,0,0
322411,12,2,2014-09-30,1123,1,1,0,0
322412,14,2,2014-09-30,791,1,1,0,0
322413,15,2,2014-09-30,886,1,1,0,0
322414,16,2,2014-09-30,1082,1,1,0,0
322415,17,2,2014-09-30,1243,1,1,0,0
322416,18,2,2014-09-30,936,1,1,0,0
322417,19,2,2014-09-30,809,1,1,0,0
322418,21,2,2014-09-30,734,1,1,0,0
322419,23,2,2014-09-30,502,1,1,0,0
322421,25,2,2014-09-30,1930,1,1,0,0
322422,26,2,2014-09-30,670,1,1,0,0
322423,27,2,2014-09-30,1600,1,1,0,0
322424,28,2,2014-09-30,761,1,1,0,0
322425,29,2,2014-09-30,861,1,1,0,0
322426,30,2,2014-09-30,880,1,1,0,0
322428,33,2,2014-09-30,960,1,1,0,0
322429,34,2,2014-09-30,1118,1,1,0,0
322430,35,2,2014-09-30,1095,1,1,0,0
322431,37,2,2014-09-30,796,1,1,0,0
322432,38,2,2014-09-30,642,1,1,0,0
322433,39,2,2014-09-30,865,1,1,0,0
322435,42,2,2014-09-30,1543,1,1,0,0
322436,43,2,2014-09-30,820,1,1,0,0
322437,44,2,2014-09-30,744,1,1,0,0
322439,47,2,2014-09-30,1227,1,1,0,0
322440,48,2,2014-09-30,427,1,1,0,0
322441,49,2,2014-09-30,631,1,1,0,0
322443,53,2,2014-09-30,599,1,1,0,0
322444,54,2,2014-09-30,668,1,1,0,0
322446,56,2,2014-09-30,617,1,1,0,0
322450,61,2,2014-09-30,682,1,1,0,0
322451,62,2,2014-09-30,877,1,1,0,0
322452,63,2,2014-09-30,732,1,1,0,0
322454,65,2,2014-09-30,678,1,1,0,0
322455,66,2,2014-09-30,603,1,1,0,0
322458,69,2,2014-09-30,1309,1,1,0,0
322459,70,2,2014-09-30,772,1,1,0,0
322461,73,2,2014-09-30,650,1,1,0,0
322462,74,2,2014-09-30,1060,1,1,0,0
322463,75,2,2014-09-30,637,1,1,0,0
322465,78,2,2014-09-30,560,1,1,0,0
322467,80,2,2014-09-30,575,1,1,0,0
322468,82,2,2014-09-30,1145,1,1,0,0
322469,83,2,2014-09-30,356,1,1,0,0
322471,85,2,2014-09-30,1093,1,1,0,0
322472,86,2,2014-09-30,885,1,1,0,0
322474,88,2,2014-09-30,798,1,1,0,0
322475,90,2,2014-09-30,1358,1,1,0,0
322476,91,2,2014-09-30,902,1,1,0,0
322477,92,2,2014-09-30,657,1,1,0,0
322478,93,2,2014-09-30,764,1,1,0,0
322479,94,2,2014-09-30,771,1,1,0,0
322480,95,2,2014-09-30,1171,1,1,0,0
322481,96,2,2014-09-30,912,1,1,0,0
322483,98,2,2014-09-30,603,1,1,0,0
322486,103,2,2014-09-30,444,1,1,0,0
322487,104,2,2014-09-30,1330,1,1,0,0
322488,105,2,2014-09-30,688,1,1,0,0
322489,106,2,2014-09-30,910,1,1,0,0
322490,107,2,2014-09-30,1120,1,1,0,0
322491,109,2,2014-09-30,787,1,1,0,0
322493,111,2,2014-09-30,732,1,1,0,0
322494,112,2,2014-09-30,778,1,1,0,0
322496,116,2,2014-09-30,825,1,1,0,0
322497,117,2,2014-09-30,580,1,1,0,0
322498,118,2,2014-09-30,845,1,1,0,0
322499,119,2,2014-09-30,688,1,1,0,0
322500,120,2,2014-09-30,860,1,1,0,0
322501,121,2,2014-09-30,603,1,1,0,0
322502,122,2,2014-09-30,910,1,1,0,0
322503,123,2,2014-09-30,1367,1,1,0,0
322504,124,2,2014-09-30,807,1,1,0,0
322505,125,2,2014-09-30,1906,1,1,0,0
322506,126,2,2014-09-30,638,1,1,0,0
322507,128,2,2014-09-30,802,1,1,0,0
322508,130,2,2014-09-30,741,1,1,0,0
322509,131,2,2014-09-30,520,1,1,0,0
322510,133,2,2014-09-30,981,1,1,0,0
322511,134,2,2014-09-30,603,1,1,0,0
322512,135,2,2014-09-30,679,1,1,0,0
322513,138,2,2014-09-30,924,1,1,0,0
322515,141,2,2014-09-30,680,1,1,0,0
322517,143,2,2014-09-30,850,1,1,0,0
322518,146,2,2014-09-30,907,1,1,0,0
322519,147,2,2014-09-30,994,1,1,0,0
322520,148,2,2014-09-30,871,1,1,0,0
322521,150,2,2014-09-30,891,1,1,0,0
322522,151,2,2014-09-30,834,1,1,0,0
322523,152,2,2014-09-30,825,1,1,0,0
322524,153,2,2014-09-30,746,1,1,0,0
322525,154,2,2014-09-30,827,1,1,0,0
322526,156,2,2014-09-30,946,1,1,0,0
322528,158,2,2014-09-30,547,1,1,0,0
322529,160,2,2014-09-30,629,1,1,0,0
322530,161,2,2014-09-30,903,1,1,0,0
322531,162,2,2014-09-30,719,1,1,0,0
322532,163,2,2014-09-30,887,1,1,0,0
