Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,c,a,1270.0,9.0,2008.0,False,,,
2,a,a,570.0,11.0,2007.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,a,a,14130.0,12.0,2006.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
5,a,a,29910.0,4.0,2015.0,False,,,
6,a,a,310.0,12.0,2013.0,False,,,
7,a,c,24000.0,4.0,2013.0,False,,,
8,a,a,7520.0,10.0,2014.0,False,,,
9,a,c,2030.0,8.0,2000.0,False,,,
10,a,a,3160.0,9.0,2009.0,False,,,
12,a,c,1070.0,,,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
14,a,a,1300.0,3.0,2014.0,True,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,d,c,4110.0,3.0,2010.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,a,c,3270.0,,,False,,,
17,a,a,50.0,12.0,2005.0,True,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,d,c,13840.0,6.0,2010.0,True,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,a,c,3240.0,,,True,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,d,a,2340.0,5.0,2009.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,c,c,550.0,10.0,1999.0,True,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,a,a,1040.0,,,True,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,d,a,4060.0,8.0,2005.0,False,,,
25,c,a,430.0,4.0,2003.0,False,,,
26,d,a,2300.0,,,False,,,
27,a,a,60.0,1.0,2005.0,True,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,a,a,1200.0,10.0,2014.0,True,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,d,c,2170.0,,,False,,,
30,a,a,40.0,2.0,2014.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
33,a,c,1320.0,5.0,2013.0,False,,,
34,c,a,2240.0,9.0,2009.0,False,,,
35,d,c,7660.0,10.0,2000.0,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,a,c,540.0,6.0,2003.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,c,a,4230.0,12.0,2014.0,False,,,
38,d,a,1090.0,4.0,2007.0,False,,,
39,a,a,260.0,10.0,2006.0,True,31.0,2013.0,"Feb,May,Aug,Nov"
41,d,c,1180.0,,,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,a,c,290.0,,,True,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,d,a,4880.0,,,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,a,a,540.0,6.0,2011.0,False,,,
46,c,a,1200.0,9.0,2005.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,a,c,270.0,4.0,2013.0,True,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,a,a,1060.0,5.0,2012.0,False,,,
49,d,c,18010.0,9.0,2007.0,False,,,
51,a,c,10570.0,7.0,2013.0,True,9.0,2011.0,"Jan,Apr,Jul,Oct"
53,a,c,30360.0,9.0,2013.0,False,,,
54,d,c,7170.0,8.0,2014.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
56,d,c,6620.0,3.0,2012.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
58,a,c,7340.0,5.0,2008.0,True,27.0,2012.0,"Jan,Apr,Jul,Oct"
61,a,c,350.0,12.0,2007.0,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,a,a,2050.0,,,False,,,
63,c,c,3700.0,6.0,2010.0,True,18.0,2010.0,"Feb,May,Aug,Nov"
65,a,c,13840.0,5.0,2010.0,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,d,a,7660.0,,,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
69,c,c,1130.0,,,True,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,c,c,4840.0,,,False,,,
72,a,a,2200.0,12.0,2009.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,a,c,1650.0,9.0,2008.0,False,,,
74,a,a,330.0,,,False,,,
75,d,c,22440.0,12.0,2013.0,False,,,
76,d,c,19960.0,3.0,2006.0,False,,,
78,a,a,3510.0,11.0,2006.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
80,d,a,7910.0,,,False,,,
81,a,a,2370.0,3.0,2011.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,a,a,22390.0,4.0,2008.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,a,a,2710.0,,,False,,,
85,b,a,1870.0,10.0,2011.0,False,,,
86,a,a,480.0,2.0,2005.0,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
88,a,a,10690.0,10.0,2005.0,False,,,
90,a,a,330.0,11.0,2007.0,False,,,
91,c,a,2410.0,,,True,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,c,a,240.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
93,a,a,16690.0,,,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,d,c,14620.0,,,False,,,
95,a,a,1890.0,10.0,2014.0,False,,,
96,a,a,8780.0,2.0,2005.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
98,d,c,15140.0,12.0,2006.0,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,c,c,2030.0,11.0,2003.0,True,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,d,a,17930.0,,,False,,,
103,d,c,5210.0,5.0,2015.0,False,,,
104,a,a,390.0,6.0,2009.0,False,,,
105,a,c,6190.0,,,True,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,a,a,1390.0,8.0,2013.0,False,,,
107,a,a,1930.0,9.0,2009.0,False,,,
109,a,c,3300.0,11.0,2010.0,False,,,
111,d,c,7890.0,,,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,a,a,1630.0,9.0,2009.0,False,,,
113,d,c,20930.0,11.0,1999.0,False,,,
115,d,c,5740.0,4.0,2007.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,a,a,680.0,4.0,2013.0,False,,,
117,a,a,3450.0,9.0,2011.0,False,,,
118,d,c,3580.0,9.0,2012.0,False,,,
119,a,c,2100.0,2.0,2010.0,False,,,
120,d,a,2290.0,12.0,2014.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,a,a,3570.0,11.0,2009.0,True,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,a,c,58260.0,4.0,2013.0,False,,,
123,a,a,16760.0,9.0,2011.0,False,,,
124,a,a,1410.0,4.0,2003.0,False,,,
125,a,a,760.0,12.0,2005.0,False,,,
126,d,a,3370.0,10.0,2014.0,True,18.0,2011.0,"Feb,May,Aug,Nov"
127,d,a,1350.0,12.0,2005.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,d,c,2000.0,,,True,1.0,2013.0,"Jan,Apr,Jul,Oct"
130,c,a,900.0,,,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,c,a,920.0,7.0,2015.0,False,,,
132,d,c,1040.0,,,True,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,a,a,270.0,8.0,2013.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,a,a,1200.0,9.0,2008.0,False,,,
135,d,a,5190.0,,,True,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,a,c,2200.0,12.0,2010.0,True,22.0,2012.0,"Feb,May,Aug,Nov"
138,a,c,25360.0,10.0,2014.0,False,,,
141,c,c,1540.0,,,True,22.0,2012.0,"Mar,Jun,Sept,Dec"
143,d,a,2930.0,12.0,2002.0,False,,,
144,a,c,16570.0,,,False,,,
145,a,a,280.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
146,d,c,8050.0,10.0,1961.0,True,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,d,c,8540.0,,,False,,,
148,a,a,2090.0,12.0,2008.0,False,,,
149,d,a,2610.0,7.0,2006.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,c,c,31830.0,3.0,2010.0,False,,,
151,d,c,4360.0,10.0,2005.0,False,,,
152,a,a,1780.0,,,False,,,
153,a,a,16240.0,10.0,2000.0,True,18.0,2011.0,"Feb,May,Aug,Nov"
154,d,c,16420.0,,,False,,,
155,d,a,3050.0,,,True,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,a,a,2020.0,2.0,2011.0,True,14.0,2011.0,"Mar,Jun,Sept,Dec"
158,d,c,11840.0,,,True,31.0,2009.0,"Feb,May,Aug,Nov"
160,d,c,17110.0,11.0,2005.0,False,,,
161,a,c,2970.0,3.0,2005.0,False,,,
162,d,c,5340.0,3.0,2012.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,a,a,1480.0,4.0,2009.0,False,,,
164,a,a,1160.0,9.0,2005.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,a,a,3720.0,4.0,2005.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,a,c,100.0,4.0,2014.0,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,a,a,140.0,4.0,2008.0,False,,,
168,a,a,12540.0,,,False,,,
170,a,a,1070.0,5.0,2015.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,a,a,2640.0,,,False,,,
